order_id,date,daypart,drink_type,barista,wait_minutes
POS-0810-01,2026-08-10,early,mocha,Riley,8.4
POS-0810-02,2026-08-10,early,americano,Riley,6.9
POS-0810-03,2026-08-10,early,latte,Riley,6.0
POS-0810-04,2026-08-10,early,cappuccino,Marcus,4.8
POS-0810-05,2026-08-10,early,americano,Riley,5.5
POS-0810-06,2026-08-10,early,latte,Riley,6.7
POS-0810-07,2026-08-10,late,latte,Marcus,5.6
POS-0810-08,2026-08-10,late,americano,Marcus,6.4
POS-0810-09,2026-08-10,late,latte,Riley,7.5
POS-0810-10,2026-08-10,late,latte,Marcus,4.3
POS-0810-11,2026-08-10,late,latte,Riley,7.9
POS-0810-12,2026-08-10,late,cappuccino,Marcus,6.5
POS-0811-01,2026-08-11,early,mocha,Riley,7.6
POS-0811-02,2026-08-11,early,latte,Marcus,5.6
POS-0811-03,2026-08-11,early,cappuccino,Marcus,6.5
POS-0811-04,2026-08-11,early,latte,Marcus,6.0
POS-0811-05,2026-08-11,early,latte,Marcus,6.1
POS-0811-06,2026-08-11,early,mocha,Marcus,7.2
POS-0811-07,2026-08-11,late,cappuccino,Marcus,7.0
POS-0811-08,2026-08-11,late,americano,Marcus,7.1
POS-0811-09,2026-08-11,late,cappuccino,Marcus,6.2
POS-0811-10,2026-08-11,late,latte,Marcus,5.6
POS-0811-11,2026-08-11,late,americano,Marcus,7.7
POS-0811-12,2026-08-11,late,latte,Marcus,7.3
POS-0812-01,2026-08-12,early,cappuccino,Riley,6.3
POS-0812-02,2026-08-12,early,latte,Marcus,7.2
POS-0812-03,2026-08-12,early,latte,Marcus,6.6
POS-0812-04,2026-08-12,early,latte,Riley,6.7
POS-0812-05,2026-08-12,early,cappuccino,Marcus,6.1
POS-0812-06,2026-08-12,early,americano,Riley,6.9
POS-0812-07,2026-08-12,late,latte,Marcus,7.2
POS-0812-08,2026-08-12,late,cappuccino,Marcus,6.0
POS-0812-09,2026-08-12,late,cappuccino,Marcus,5.8
POS-0812-10,2026-08-12,late,cappuccino,Marcus,6.2
POS-0812-11,2026-08-12,late,cappuccino,Marcus,6.7
POS-0812-12,2026-08-12,late,cappuccino,Riley,7.2
POS-0813-01,2026-08-13,early,cappuccino,Riley,6.4
POS-0813-02,2026-08-13,early,mocha,Riley,5.7
POS-0813-03,2026-08-13,early,latte,Riley,4.3
POS-0813-04,2026-08-13,early,americano,Riley,5.8
POS-0813-05,2026-08-13,early,americano,Riley,5.1
POS-0813-06,2026-08-13,early,cappuccino,Marcus,6.5
POS-0813-07,2026-08-13,late,cappuccino,Marcus,5.5
POS-0813-08,2026-08-13,late,americano,Marcus,6.6
POS-0813-09,2026-08-13,late,cappuccino,Marcus,7.7
POS-0813-10,2026-08-13,late,americano,Riley,6.1
