item_id,planted,rater_a_pass,rater_b_pass
SR1-01,ok,1,1
SR1-02,ok,1,1
SR1-03,ok,1,1
SR1-04,ok,1,1
SR1-05,series-convention,1,0
SR1-06,ok,1,1
SR1-07,ok,1,1
SR1-08,transposed-within-bay,0,0
SR1-09,wrong-bay,0,0
SR1-10,oversize-marker,1,1
SR1-11,transposed-within-bay,1,0
SR1-12,ok,1,1
SR1-13,ok,1,0
SR1-14,flat-on-top,1,0
SR1-15,flat-on-top,1,1
SR1-16,wrong-bay,0,0
SR1-17,ok,1,1
SR1-18,ok,1,1
SR1-19,ok,1,1
SR1-20,transposed-within-bay,1,0
SR1-21,transposed-within-bay,1,0
SR1-22,oversize-marker,1,1
SR1-23,ok,1,1
SR1-24,wrong-bay,0,0
SR1-25,ok,1,1
SR1-26,wrong-bay,0,0
SR1-27,transposed-within-bay,1,0
SR1-28,wrong-bay,0,0
SR1-29,series-convention,1,1
SR1-30,transposed-within-bay,1,0
SR1-31,ok,1,0
SR1-32,ok,0,1
SR1-33,ok,1,1
SR1-34,oversize-marker,1,1
SR1-35,ok,1,1
SR1-36,ok,1,1
SR1-37,ok,1,1
SR1-38,series-convention,1,0
SR1-39,ok,0,1
SR1-40,ok,1,0
SR1-41,ok,1,1
SR1-42,ok,1,1
SR1-43,ok,1,1
SR1-44,transposed-within-bay,1,0
SR1-45,series-convention,1,0
SR1-46,wrong-bay,0,0
SR1-47,wrong-bay,0,0
SR1-48,ok,1,1
SR1-49,ok,1,1
SR1-50,transposed-within-bay,1,1
